mean pos,mean neg,Tweet,Clean,class,NO URL,NO STOPWORD,NO NUMBER,NO REPEAT,NO ACRONYM,NO NEGATION,OUR
2,1,@lacheeka You must share that info! I need to go.,@lacheka must share info need go,4,@lacheka must share info need go,@lacheka you must share that info i need to go,@lacheka must share info need go,@lacheeka must share info need go,@lacheka must share info need go,@lacheka must share info need go,must share info need go
1,1,Want To Unlock iPhone 3.13 Software Available To Unlock And ... http://bit.ly/bFpXvh,want unlock iphone software available unlock ...,2,want unlock iphone software available unlock ... htp://bit.ly/bfpxvh,want to unlock iphone software available to unlock and ...,want unlock iphone 3.13 software available unlock ...,want unlock iphone software available unlock ...,want unlock iphone software available unlock ...,want unlock iphone software available unlock ...,want unlock iphone software available unlock ...
2,3,RT @SunshynAndPain My tummy hurts =[ {hope you feel better},rt @sunshynandpain tummy hurts =[ hope feel better,0,rt @sunshynandpain tummy hurts =[ hope feel better,rt @sunshynandpain my tummy hurts =[ hope you feel better,rt @sunshynandpain tummy hurts =[ hope feel better,rt @sunshynandpain tummy hurts =[ hope feel better,rt @sunshynandpain tummy hurts =[ hope feel better,rt @sunshynandpain tummy hurts =[ hope feel better,rt tummy hurts =[ hope feel better
1,1,"skatin with my shirt off,tryin to get a tan",skatin shirt tryin get tan,2,skatin shirt tryin get tan,skatin with my shirt off tryin to get a tan,skatin shirt tryin get tan,skatin shirt tryin get tan,skatin shirt tryin get tan,skatin shirt tryin get tan,skatin shirt tryin get tan
1,1,"Me too, but 4real tho? Why? LOL RT @BlaqueBerree I bet ""Un-Thinkable"" was dedicated to Swizz Beatz",real though very funny rt @blaquebere bet un-thinkable dedicated swiz beatz,2,real though very funny rt @blaquebere bet un-thinkable dedicated swiz beatz,me too but real though why very funny rt @blaquebere i bet un-thinkable was dedicated to swiz beatz,4real though very funny rt @blaquebere bet un-thinkable dedicated swiz beatz,real though very funny rt @blaqueberree bet un-thinkable dedicated swizz beatz,real tho lol rt @blaquebere bet un-thinkable dedicated swiz beatz,real though very funny rt @blaquebere bet un-thinkable dedicated swiz beatz,real though very funny rt bet un-thinkable dedicated swiz beatz
1,1,mystic canvas just added http://bit.ly/cagM4n thanks for looking,mystic canvas added thanks looking,2,mystic canvas added htp://bit.ly/cagmn thanks looking,mystic canvas just added thanks for looking,mystic canvas added thanks looking,mystic canvas added thanks looking,mystic canvas added thanks looking,mystic canvas added thanks looking,mystic canvas added thanks looking
2,2,RT @stretch637: @SWRIGHT7983 Too bad you're moving to Texas.~Why is that? We always got twitter!,rt @stretch @swright bad moving texas always got twitter,2,rt @stretch @swright bad moving texas always got twitter,rt @stretch @swright too bad you're moving to texas why is that we always got twitter,rt @stretch637 @swright7983 bad moving texas always got twitter,rt @stretch @swright bad moving texas always got twitter,rt @stretch @swright bad moving texas always got twitter,rt @stretch @swright bad moving texas always got twitter,rt bad moving texas always got twitter
2,2,RT @Cam_Cruise4: You niggas can wear sneakers if you want lol<== them be the same niggas that bitches be loving my Uggs,rt @cam_cruise nigas wear sneakers want very funny nigas bitches loving ugs,2,rt @cam_cruise nigas wear sneakers want very funny nigas bitches loving ugs,rt @cam_cruise you nigas can wear sneakers if you want very funny them be the same nigas that bitches be loving my ugs,rt @cam_cruise4 nigas wear sneakers want very funny nigas bitches loving ugs,rt @cam_cruise niggas wear sneakers want very funny niggas bitches loving uggs,rt @cam_cruise nigas wear sneakers want lol nigas bitches loving ugs,rt @cam_cruise nigas wear sneakers want very funny nigas bitches loving ugs,rt _cruise nigas wear sneakers want very funny nigas bitches loving ugs
1,1,"Bingung tar lo jadi linglung,, emg susah dy' klo dah tua mah,wkwk RT @healdydinar: Bingung ... http://myloc.me/3T3Of",bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ...,2,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ... htp://myloc.me/tof,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ...,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ...,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ...,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ...,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt @healdydinar bingung ...,bingung tar lo jadi linglung emg susah dy klo dah tua mah wkwk rt bingung ...
1,1,Check this video out -- Lost Generation http://youtu.be/42E2fAWM6rA,check video lost generation,2,check video lost generation htp://youtu.be/efawmra,check this video out lost generation,check video lost generation,check video lost generation,check video lost generation,check video lost generation,check video lost generation
1,1,RT @m_elyse3: The KEY to social media: http://www.socialmediaexplorer.com/2009/06/15/the-key-to-developing-a-social-media-strategy/,rt @m_elyse key social media,2,rt @m_elyse key social media htp://w.socialmediaexplorer.com///the-key-to-developing-a-social-media-strategy/,rt @m_elyse the key to social media,rt @m_elyse3 key social media,rt @m_elyse key social media,rt @m_elyse key social media,rt @m_elyse key social media,rt _elyse key social media
1,2,crisis solved. it was my dad. wow dad.,crisis solved dad wow dad,0,crisis solved dad wow dad,crisis solved it was my dad wow dad,crisis solved dad wow dad,crisis solved dad wow dad,crisis solved dad wow dad,crisis solved dad wow dad,crisis solved dad wow dad
1,1,"Lenovo IdeaPad Atom N270 1.6GHz Netbook -160GB SATA HDD, No Optical Drive 10.1"" WXGA ONLY 286.99 after rebate(s) http://tinyurl.com/y9j46l9",lenovo ideapad atom ghz netbok gb sata high definition optical drive wxga rebate,2,lenovo ideapad atom ghz netbok gb sata high definition optical drive wxga rebate htp://tinyurl.com/yjl,lenovo ideapad atom and ghz netbok gb sata high definition no optical drive wxga only after rebate s,lenovo ideapad atom n270 1.6 ghz netbok 160gb sata high definition optical drive 10.1 wxga 286.9 rebate,lenovo ideapad atom ghz netbook gb sata hdd optical drive wxga rebate,lenovo ideapad atom n ghz netbok gb sata hd optical drive wxga rebate,lenovo ideapad atom ghz netbok gb sata high definition optical drive wxga rebate,lenovo ideapad atom ghz netbok gb sata high definition optical drive wxga rebate
1,1,FOXNews.com - New Breeds Showcased at 134th Westminster Dog Show! http://lasvegasgroomer.blogspot.com/,foxnews.com new breds showcased th westminster dog show,2,foxnews.com new breds showcased th westminster dog show htp://lasvegasgromer.blogspot.com/,foxnews.com new breds showcased at th westminster dog show,foxnews.com new breds showcased 134th westminster dog show,foxnews.com new breeds showcased th westminster dog show,foxnews.com new breds showcased th westminster dog show,foxnews.com new breds showcased th westminster dog show,foxnews.com new breds showcased th westminster dog show
1,2,@itswlw @solababy Plz RT #1)A cool nickname. I tried SheSheWaWaBar but it was a no...DJM It was off the top of my head! 2bcont...,@itswlw @solababy plz rt cool nickname tried sheshewawabar ... djm top head bcont ...,0,@itswlw @solababy plz rt cool nickname tried sheshewawabar ... djm top head bcont ...,@itswlw @solababy plz rt a cool nickname i tried sheshewawabar but it was a no ... djm it was off the top of my head bcont ...,@itswlw @solababy plz rt 1 cool nickname tried sheshewawabar ... djm top head 2bcont ...,@itswlw @solababy plz rt cool nickname tried sheshewawabar ... djm top head bcont ...,@itswlw @solababy plz rt cool nickname tried sheshewawabar ... djm top head bcont ...,@itswlw @solababy plz rt cool nickname tried sheshewawabar ... djm top head bcont ...,plz rt cool nickname tried sheshewawabar ... djm top head bcont ...
2,1,@gloriabell @heathie You got it. B&W movie during #CampCamp. Maybe a good camping movie?,@gloriabel @heathie got w movie #campcamp maybe good camping movie,4,@gloriabel @heathie got w movie #campcamp maybe good camping movie,@gloriabel @heathie you got it be w movie during #campcamp maybe a good camping movie,@gloriabel @heathie got w movie #campcamp maybe good camping movie,@gloriabell @heathie got w movie #campcamp maybe good camping movie,@gloriabel @heathie got b w movie #campcamp maybe good camping movie,@gloriabel @heathie got w movie #campcamp maybe good camping movie,got w movie maybe good camping movie
2,1,Looking forward to..RT @achildofthejago London Fashion Week invites - Thanks to everyone who has contacted us http://tl.gd/9ghhi,looking forward .. rt @achildofthejago london fashion wk invites thanks everyone contacted us,4,looking forward .. rt @achildofthejago london fashion wk invites thanks everyone contacted us htp://tl.gd/ghi,looking forward to .. rt @achildofthejago london fashion wk invites thanks to everyone who has contacted us,looking forward .. rt @achildofthejago london fashion wk invites thanks everyone contacted us,looking forward .. rt @achildofthejago london fashion wk invites thanks everyone contacted us,looking forward .. rt @achildofthejago london fashion week invites thanks everyone contacted us,looking forward .. rt @achildofthejago london fashion wk invites thanks everyone contacted us,looking forward .. rt london fashion wk invites thanks everyone contacted us
2,1,Top 10 Amazing Cities You Will Never Visit http://ow.ly/179sH,top amazing cities never visit,4,top amazing cities never visit htp://ow.ly/sh,top amazing cities you will never visit,top 10 amazing cities never visit,top amazing cities never visit,top amazing cities never visit,top amazing cities never visit,top amazing cities never visit
1,1,Hear My Voice here: The Sugarloaf EP [Badman Digital],hear voice sugarloaf ep badman digital,2,hear voice sugarloaf ep badman digital,hear my voice here the sugarloaf ep badman digital,hear voice sugarloaf ep badman digital,hear voice sugarloaf ep badman digital,hear voice sugarloaf ep badman digital,hear voice sugarloaf ep badman digital,hear voice sugarloaf ep badman digital
1,2,#lemmegetthisstr8 U weigh 250 but U thick and not fat? #tryagain,#lemegethistr weigh thick fat #tryagain,0,#lemegethistr weigh thick fat #tryagain,#lemegethistr you weigh but you thick and not fat #tryagain,#lemegethistr8 weigh 250 thick fat #tryagain,#lemmegetthisstr weigh thick fat #tryagain,#lemegethistr u weigh u thick fat #tryagain,#lemegethistr weigh thick fat #tryagain,weigh thick fat
2,1,Photo: fuckyeahqaf: Love Gale and Randy together http://tumblr.com/x2d6i6mrs,photo fuckyeahqaf love gale randy together,4,photo fuckyeahqaf love gale randy together htp://tumblr.com/xdimrs,photo fuckyeahqaf love gale and randy together,photo fuckyeahqaf love gale randy together,photo fuckyeahqaf love gale randy together,photo fuckyeahqaf love gale randy together,photo fuckyeahqaf love gale randy together,photo fuckyeahqaf love gale randy together
2,1,"@themanwhofell Accepted, especially as that RT cracked me up",@themanwhofel accepted especially rt cracked,4,@themanwhofel accepted especially rt cracked,@themanwhofel accepted especially as that rt cracked me up,@themanwhofel accepted especially rt cracked,@themanwhofell accepted especially rt cracked,@themanwhofel accepted especially rt cracked,@themanwhofel accepted especially rt cracked,accepted especially rt cracked
1,2,' d loveJBseyes ' im not on the computer im on my phone. my computers being so gaay,lovejbseyes im computer im phone computers gay,0,lovejbseyes im computer im phone computers gay,d lovejbseyes im not on the computer im on my phone my computers being so gay,lovejbseyes im computer im phone computers gay,lovejbseyes im computer im phone computers gaay,lovejbseyes im computer im phone computers gay,lovejbseyes im computer im phone computers gay,lovejbseyes im computer im phone computers gay
2,1,"@Thisisddlovato -pulls you in for a hug and holds you tight, closes my eyes-",@thisisdlovato puls hug holds tight closes eyes,4,@thisisdlovato puls hug holds tight closes eyes,@thisisdlovato puls you in for a hug and holds you tight closes my eyes,@thisisdlovato puls hug holds tight closes eyes,@thisisddlovato pulls hug holds tight closes eyes,@thisisdlovato puls hug holds tight closes eyes,@thisisdlovato puls hug holds tight closes eyes,puls hug holds tight closes eyes
3,1,"@Legion11 Haha! I love the little Apple tote bag. This will be the first of many, I feel, now that we have the store on our doorstep :P",@legion haha love little apple tote bag first many feel store doorstep :p,4,@legion haha love little apple tote bag first many feel store doorstep :p,@legion haha i love the little apple tote bag this will be the first of many i feel now that we have the store on our doorstep :p,@legion1 haha love little apple tote bag first many feel store doorstep :p,@legion haha love little apple tote bag first many feel store doorstep :p,@legion haha love little apple tote bag first many feel store doorstep :p,@legion haha love little apple tote bag first many feel store doorstep :p,haha love little apple tote bag first many feel store doorstep sheepish
1,1,kismet and karma. they were not changed by external factor.,kismet karma changed external factor,2,kismet karma changed external factor,kismet and karma they were not changed by external factor,kismet karma changed external factor,kismet karma changed external factor,kismet karma changed external factor,kismet karma changed external factor,kismet karma changed external factor
1,1,"RT @techvibes: Vancouver, the pros and cons of our splendid isolation - http://ow.ly/17ATA",rt @techvibes vancouver pros cons splendid isolation,2,rt @techvibes vancouver pros cons splendid isolation htp://ow.ly/ata,rt @techvibes vancouver the pros and cons of our splendid isolation,rt @techvibes vancouver pros cons splendid isolation,rt @techvibes vancouver pros cons splendid isolation,rt @techvibes vancouver pros cons splendid isolation,rt @techvibes vancouver pros cons splendid isolation,rt vancouver pros cons splendid isolation
3,1,The princes are royal beauts!,princes royal beauts,4,princes royal beauts,the princes are royal beauts,princes royal beauts,princes royal beauts,princes royal beauts,princes royal beauts,princes royal beauts
1,3,@TRAPBOYSTEVIE its like they know I hate touching strangers and will automatically get up and stand for the rest of my ride. Fuck faces.,@trapboystevie like know hate touching strangers automatically get stand rest ride fuck faces,0,@trapboystevie like know hate touching strangers automatically get stand rest ride fuck faces,@trapboystevie its like they know i hate touching strangers and will automatically get up and stand for the rest of my ride fuck faces,@trapboystevie like know hate touching strangers automatically get stand rest ride fuck faces,@trapboystevie like know hate touching strangers automatically get stand rest ride fuck faces,@trapboystevie like know hate touching strangers automatically get stand rest ride fuck faces,@trapboystevie like know hate touching strangers automatically get stand rest ride fuck faces,like know hate touching strangers automatically get stand rest ride fuck faces
2,1,Flowers - One Of The Best Sources To Express Your Feelings - http://bit.ly/aKIZXB,flowers one best sources express felings,4,flowers one best sources express felings htp://bit.ly/akizxb,flowers one of the best sources to express your felings,flowers one best sources express felings,flowers one best sources express feelings,flowers one best sources express felings,flowers one best sources express felings,flowers one best sources express felings
3,1,"Good Morning NorthWest! Sunny weather, banging music, and the drive to conquer! Tell me what else I need!",good morning northwest sunny weather banging music drive conquer tell else need,4,good morning northwest sunny weather banging music drive conquer tell else need,good morning northwest sunny weather banging music and the drive to conquer tell me what else i need,good morning northwest sunny weather banging music drive conquer tell else need,good morning northwest sunny weather banging music drive conquer tell else need,good morning northwest sunny weather banging music drive conquer tell else need,good morning northwest sunny weather banging music drive conquer tell else need,good morning northwest sunny weather banging music drive conquer tell else need
1,1,if you've never been in love before how do you know how it feels? is that possible?,never love know fels possible,2,never love know fels possible,if you've never been in love before how do you know how it fels is that possible,never love know fels possible,never love know feels possible,never love know fels possible,never love know fels possible,never love know fels possible
2,3,Clear skies but really cold http://moby.to/49sipq,clear skies really cold,0,clear skies really cold htp://moby.to/sipq,clear skies but really cold,clear skies really cold,clear skies really cold,clear skies really cold,clear skies really cold,clear skies really cold
1,2,RT @Drudge_Report: Privacy group files FTC complaint on GOOGLE Buzz... http://drudge.tw/9r4v9C,rt @drudge_report privacy group files ftc complaint gogle buzz ...,0,rt @drudge_report privacy group files ftc complaint gogle buzz ... htp://drudge.tw/rvc,rt @drudge_report privacy group files ftc complaint on gogle buzz ...,rt @drudge_report privacy group files ftc complaint gogle buzz ...,rt @drudge_report privacy group files ftc complaint google buzz ...,rt @drudge_report privacy group files ftc complaint gogle buzz ...,rt @drudge_report privacy group files ftc complaint gogle buzz ...,rt _report privacy group files ftc complaint gogle buzz ...
2,1,"Having a interesting conversation with my oldest uncle, man my family is a trip!",interesting conversation oldest uncle man family trip,4,interesting conversation oldest uncle man family trip,having a interesting conversation with my oldest uncle man my family is a trip,interesting conversation oldest uncle man family trip,interesting conversation oldest uncle man family trip,interesting conversation oldest uncle man family trip,interesting conversation oldest uncle man family trip,interesting conversation oldest uncle man family trip
2,2,RT @slmandel: For the #LOST fans ... RT @CarltonCuse: Don't miss tonight's episode. A number of things are illuminated.,rt @slmandel #lost fans ... rt @carltoncuse do not miss tonight's episode number things illuminated,2,rt @slmandel #lost fans ... rt @carltoncuse do not miss tonight's episode number things illuminated,rt @slmandel for the #lost fans ... rt @carltoncuse do not miss tonight's episode a number of things are illuminated,rt @slmandel #lost fans ... rt @carltoncuse do not miss tonight's episode number things illuminated,rt @slmandel #lost fans ... rt @carltoncuse do not miss tonight's episode number things illuminated,rt @slmandel #lost fans ... rt @carltoncuse do not miss tonight's episode number things illuminated,rt @slmandel #lost fans ... rt @carltoncuse miss tonight's episode number things illuminated,rt fans ... rt do not miss tonight's episode number things illuminated
1,1,#TED talks now online from both David Cameron http://bit.ly/bI7dTD and Gordon Brown http://bit.ly/avhSzm See for yourself :),#ted talks online david cameron gordon brown see :),2,#ted talks online david cameron htp://bit.ly/bidtd gordon brown htp://bit.ly/avhszm see :),#ted talks now online from both david cameron and gordon brown see for yourself :),#ted talks online david cameron gordon brown see :),#ted talks online david cameron gordon brown see :),#ted talks online david cameron gordon brown see :),#ted talks online david cameron gordon brown see :),talks online david cameron gordon brown see happy
2,1,Chillin in my set,chilin set,4,chilin set,chilin in my set,chilin set,chillin set,chilin set,chilin set,chilin set
4,1,TIHIS IS THE WEEK TO BUY SELECT MACBETH SHOES at 50 % OFF @MidwestTrader92 get in there for a crazy deal !!!!!!!!!!!!,tihis wk buy select macbeth shoes @midwestrader get crazy deal,4,tihis wk buy select macbeth shoes @midwestrader get crazy deal,tihis is the wk to buy select macbeth shoes at off @midwestrader get in there for a crazy deal,tihis wk buy select macbeth shoes 50 @midwestrader92 get crazy deal,tihis wk buy select macbeth shoes @midwesttrader get crazy deal,tihis week buy select macbeth shoes @midwestrader get crazy deal,tihis wk buy select macbeth shoes @midwestrader get crazy deal,tihis wk buy select macbeth shoes get crazy deal
1,1,I favorited a YouTube video -- small looping jam vigeo 0001 http://youtu.be/RBwaYLNbTG8?a,favorited youtube video small looping jam vigeo,2,favorited youtube video small looping jam vigeo htp://youtu.be/rbwaylnbtg?a,i favorited a youtube video small looping jam vigeo,favorited youtube video small looping jam vigeo 01,favorited youtube video small looping jam vigeo,favorited youtube video small looping jam vigeo,favorited youtube video small looping jam vigeo,favorited youtube video small looping jam vigeo
1,4,"Fuck, my ankle fucking hurts...",fuck ankle fucking hurts ...,0,fuck ankle fucking hurts ...,fuck my ankle fucking hurts ...,fuck ankle fucking hurts ...,fuck ankle fucking hurts ...,fuck ankle fucking hurts ...,fuck ankle fucking hurts ...,fuck ankle fucking hurts ...
1,1,@magic_fubu someone needs to take a road trip to Pulaski for those....,@magic_fubu someone needs take road trip pulaski ...,2,@magic_fubu someone needs take road trip pulaski ...,@magic_fubu someone needs to take a road trip to pulaski for those ...,@magic_fubu someone needs take road trip pulaski ...,@magic_fubu someone needs take road trip pulaski ...,@magic_fubu someone needs take road trip pulaski ...,@magic_fubu someone needs take road trip pulaski ...,_fubu someone needs take road trip pulaski ...
2,2,@Ash_Stackz OH SHIT.. WELL I WAS POPP'N B4 POPP'N WAS THE THING TO BE... OK YOUNGPUNK.. SO #STOPIT5,@ash_stackz oh shit .. well pop'n pop'n thing ... ok youngpunk .. #stopit,2,@ash_stackz oh shit .. well pop'n pop'n thing ... ok youngpunk .. #stopit,@ash_stackz oh shit .. well i was pop'n be pop'n was the thing to be ... ok youngpunk .. so #stopit,@ash_stackz oh shit .. well pop'n pop'n thing ... ok youngpunk .. #stopit5,@ash_stackz oh shit .. well popp'n popp'n thing ... ok youngpunk .. #stopit,@ash_stackz oh shit .. well pop'n b pop'n thing ... ok youngpunk .. #stopit,@ash_stackz oh shit .. well pop'n pop'n thing ... ok youngpunk .. #stopit,_stackz oh shit .. well pop'n pop'n thing ... ok youngpunk ..
3,1,I have time to twitter now :-),time twitter :-),4,time twitter :-),i have time to twitter now :-),time twitter :-),time twitter :-),time twitter :-),time twitter :-),time twitter happy
1,2,Said he's sending me an 8x10 framed photo. Told him that ish won't go up in my house. He's got a better chance with a 4x6. #justsayin,said he's sending x framed photo told ish go house he's got better chance x #justsayin,0,said he's sending x framed photo told ish go house he's got better chance x #justsayin,said he's sending me an x framed photo told him that ish won't go up in my house he's got a better chance with a x #justsayin,said he's sending 8x10 framed photo told ish go house he's got better chance 4x6 #justsayin,said he's sending x framed photo told ish go house he's got better chance x #justsayin,said he's sending x framed photo told ish go house he's got better chance x #justsayin,said he's sending x framed photo told ish go house he's got better chance x #justsayin,said he's sending x framed photo told ish go house he's got better chance x
4,1,sitting by a hot idiota! my life is amazing now.,sitting hot idiota life amazing,4,sitting hot idiota life amazing,sitting by a hot idiota my life is amazing now,sitting hot idiota life amazing,sitting hot idiota life amazing,sitting hot idiota life amazing,sitting hot idiota life amazing,sitting hot idiota life amazing
2,1,@darkelegance I KNOW YOU DO BB. THAT'S WHY I DO IT ALL THE TIME,@darkelegance know that's time,4,@darkelegance know that's time,@darkelegance i know you do be that's why i do it all the time,@darkelegance know that's time,@darkelegance know bb that's time,@darkelegance know b that's time,@darkelegance know that's time,know that's time
1,1,I subscribed to JesseandStuff's channel on YouTube http://www.youtube.com/user/JesseandStuff?feature=autoshare_twitter,subscribed jeseandstuf's channel youtube,2,subscribed jeseandstuf's channel youtube htp://w.youtube.com/user/jeseandstuf?feature=autoshare_twiter,i subscribed to jeseandstuf's channel on youtube,subscribed jeseandstuf's channel youtube,subscribed jesseandstuff's channel youtube,subscribed jeseandstuf's channel youtube,subscribed jeseandstuf's channel youtube,subscribed jeseandstuf's channel youtube
3,1,"Shen, Zhao absolutely golden in pairs victory: China?s Shen Xue and Zhao Hongbo won the pairs gold medal at the Va... http://bit.ly/9Qmhfs",shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ...,4,shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ... htp://bit.ly/qmhfs,shen zhao absolutely golden in pairs victory china s shen xue and zhao hongbo won the pairs gold medal at the va ...,shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ...,shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ...,shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ...,shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ...,shen zhao absolutely golden pairs victory china shen xue zhao hongbo pairs gold medal va ...
1,3,He was like o shit oh fuck over and over again it worried me,like shit oh fuck worried,0,like shit oh fuck worried,he was like o shit oh fuck over and over again it worried me,like shit oh fuck worried,like shit oh fuck worried,like shit oh fuck worried,like shit oh fuck worried,like shit oh fuck worried
1,1,RT @DCpierson: Kids: @daneckman is on SlashfilmCast at http://Slashfilm.com live now. I'm on at 8 PM PST with a big DERRICK announcement.,rt @dcpierson kids @daneckman slashfilmcast live i'm pm pst big derrick announcement,2,rt @dcpierson kids @daneckman slashfilmcast htp://slashfilm.com live i'm pm pst big derrick announcement,rt @dcpierson kids @daneckman is on slashfilmcast at live now i'm on at pm pst with a big derrick announcement,rt @dcpierson kids @daneckman slashfilmcast live i'm 8 pm pst big derrick announcement,rt @dcpierson kids @daneckman slashfilmcast live i'm pm pst big derrick announcement,rt @dcpierson kids @daneckman slashfilmcast live i'm pm pst big derrick announcement,rt @dcpierson kids @daneckman slashfilmcast live i'm pm pst big derrick announcement,rt kids slashfilmcast live i'm pm pst big derrick announcement
1,1,going to heathers. ?,going heathers,2,going heathers,going to heathers,going heathers,going heathers,going heathers,going heathers,going heathers
1,2,Alright....the Norwegian curling team's clown pants have got to go.....make me queasy. http://twurl.nl/q6vjmb,alright ... norwegian curling team's clown pants got go ... make queasy,0,alright ... norwegian curling team's clown pants got go ... make queasy htp://twurl.nl/qvjmb,alright ... the norwegian curling team's clown pants have got to go ... make me queasy,alright ... norwegian curling team's clown pants got go ... make queasy,alright ... norwegian curling team's clown pants got go ... make queasy,alright ... norwegian curling team's clown pants got go ... make queasy,alright ... norwegian curling team's clown pants got go ... make queasy,alright ... norwegian curling team's clown pants got go ... make queasy
2,3,@DjSelfDestruct shes not worth it....... (downin a miniature patrom bottle)! lmfao! i dont want to get a hangover~ just for her..,@djselfdestruct shes worth ... downin miniature patrom bottle very funny do not want get hangover ..,0,@djselfdestruct shes worth ... downin miniature patrom bottle very funny do not want get hangover ..,@djselfdestruct shes not worth it ... downin a miniature patrom bottle very funny i do not want to get a hangover just for her ..,@djselfdestruct shes worth ... downin miniature patrom bottle very funny do not want get hangover ..,@djselfdestruct shes worth ... downin miniature patrom bottle very funny do not want get hangover ..,@djselfdestruct shes worth ... downin miniature patrom bottle lmfao do not want get hangover ..,@djselfdestruct shes worth ... downin miniature patrom bottle very funny dont want get hangover ..,shes worth ... downin miniature patrom bottle very funny do not want get hangover ..
3,2,I think that maybe gaga is a bit borderline. Love her tho,think maybe gaga bit borderline love though,4,think maybe gaga bit borderline love though,i think that maybe gaga is a bit borderline love her though,think maybe gaga bit borderline love though,think maybe gaga bit borderline love though,think maybe gaga bit borderline love tho,think maybe gaga bit borderline love though,think maybe gaga bit borderline love though
1,1,RT @wilkersonrick: New Blog Post on Google Buzz (zzz) http://bit.ly/9UbRUo,rt @wilkersonrick new blog post gogle buzz z,2,rt @wilkersonrick new blog post gogle buzz z htp://bit.ly/ubruo,rt @wilkersonrick new blog post on gogle buzz z,rt @wilkersonrick new blog post gogle buzz z,rt @wilkersonrick new blog post google buzz zzz,rt @wilkersonrick new blog post gogle buzz z,rt @wilkersonrick new blog post gogle buzz z,rt new blog post gogle buzz z
1,2,"if I ask ""anything else for you."" Don't answer ""yes"" and then just stare at me.",ask anything else do not answer yes stare,0,ask anything else do not answer yes stare,if i ask anything else for you do not answer yes and then just stare at me,ask anything else do not answer yes stare,ask anything else do not answer yes stare,ask anything else do not answer yes stare,ask anything else answer yes stare,ask anything else do not answer yes stare
3,1,@jessicaalba going to watch valentines day on thursday! Soo exciting! I was jw if bradley cooper was in it coz my friends were debating it?X,@jesicalba going watch valentines day thursday exciting jw bradley cooper friends debating x,4,@jesicalba going watch valentines day thursday exciting jw bradley cooper friends debating x,@jesicalba going to watch valentines day on thursday so exciting i was jw if bradley cooper was in it because my friends were debating it x,@jesicalba going watch valentines day thursday exciting jw bradley cooper friends debating x,@jessicaalba going watch valentines day thursday soo exciting jw bradley cooper friends debating x,@jesicalba going watch valentines day thursday exciting jw bradley cooper coz friends debating x,@jesicalba going watch valentines day thursday exciting jw bradley cooper friends debating x,going watch valentines day thursday exciting jw bradley cooper friends debating x
1,2,RT @bieberscap: #becauseofbieber were all are here and going crazy over geting his attention,rt @bieberscap #becauseofbieber going crazy geting attention,0,rt @bieberscap #becauseofbieber going crazy geting attention,rt @bieberscap #becauseofbieber were all are here and going crazy over geting his attention,rt @bieberscap #becauseofbieber going crazy geting attention,rt @bieberscap #becauseofbieber going crazy geting attention,rt @bieberscap #becauseofbieber going crazy geting attention,rt @bieberscap #becauseofbieber going crazy geting attention,rt going crazy geting attention
2,2,Someone just DMed me I still have a JETS bg on my Twitter page. When I have time to turn on my laptop I will be sure to change it ;),someone dmed still jets bg twitter page time turn laptop sure change ;),2,someone dmed still jets bg twitter page time turn laptop sure change ;),someone just dmed me i still have a jets bg on my twitter page when i have time to turn on my laptop i will be sure to change it ;),someone dmed still jets bg twitter page time turn laptop sure change ;),someone dmed still jets bg twitter page time turn laptop sure change ;),someone dmed still jets bg twitter page time turn laptop sure change ;),someone dmed still jets bg twitter page time turn laptop sure change ;),someone dmed still jets bg twitter page time turn laptop sure change happy
1,1,RT @anasousa_etsy: giveaway here--------> http://crearescreer.wordpress.com enjoy!,rt @anasousa_etsy giveaway ---> enjoy,2,rt @anasousa_etsy giveaway ---> htp://crearescrer.wordpres.com enjoy,rt @anasousa_etsy giveaway here ---> enjoy,rt @anasousa_etsy giveaway ---> enjoy,rt @anasousa_etsy giveaway ---> enjoy,rt @anasousa_etsy giveaway ---> enjoy,rt @anasousa_etsy giveaway ---> enjoy,rt _etsy giveaway ---> enjoy
2,1,@HookedOnPop and so is lily allen so perfect match really,@hokedonpop lily alen perfect match really,4,@hokedonpop lily alen perfect match really,@hokedonpop and so is lily alen so perfect match really,@hokedonpop lily alen perfect match really,@hookedonpop lily allen perfect match really,@hokedonpop lily alen perfect match really,@hokedonpop lily alen perfect match really,lily alen perfect match really
